[0.0-4.0]  o con el que siempre se gestionan estas reuniones.
[4.0-8.0]  En ese correo consultas arroba igual a punto or.
[8.0-14.6]  Entonces, si esa función puede estar sincronizada con ese correo
[14.6-20.2]  de consultas sería genial si funcionaría como una especie
[20.2-26.5]  de Google Meet, donde hay invitados pre-establecidos.
[26.5-29.6]  También puede ser un alternativo interesante.
[29.6-33.3]  Pero ahí, bueno, supongo que eso lo van a conversar en interna
[33.3-39.0]  para ver cómo se puede acarrizar de la mejor manera.
[39.0-44.9]  OK, y otra pregunta más antes de pasar el siguiente,
[44.9-46.9]  el siguiente persona si quieres preguntar algo,
[46.9-52.6]  es que el bot, netamente, tiene que haber en español,
[52.6-55.8]  porque había visto que ustedes también trabajan con comunidades
[55.8-57.0]  por unos aquí en el progreso.
[57.0-61.8]  Pero ya que tengo comunidades como la imárea, la llamanica,
[61.8-67.2]  que el bot tenga la capacidad de poder haber en esas lenguajes.
[67.2-72.9]  Sí, sería excelente que pudiéramos contar con eso.
[72.9-76.4]  OK, no sé si es más tenido.
[76.4-81.2]  Un uso Carlos, este disculpa me parece un excelente aporte
[81.2-86.8]  lo que acabas de recordarnos en cuanto a lenguas originarias.
[86.8-90.6]  Y además de eso, si es que pudiera estar por lo menos el idioma inglés,
[90.6-94.0]  también sería genial porque nosotros tenemos mucho contacto
[94.0-96.7]  con plataformas de habla inglesa, en Reino Unido,
[96.7-99.6]  sobre todo, que tenemos bastantes contactos allá.
[99.6-104.3]  Entonces, nos ayudaría mucho a tener un cierre hebrechas de idioma
[104.3-110.6]  poder contar con esa facilidad para que lo tome en cuenta, por favor.
[110.6-113.3]  OK, muchas gracias por la información.
[113.3-116.6]  No sé si alguien más tenga algún tipo de pregunta.
[116.6-118.6]  Sí, sí, acá tengo una pregunta.
[118.6-124.4]  Así que a veces chatbot, que es que ellos tienen, a principios,
[124.4-129.3]  tienen una visión de ser una página web o se proyectan
[129.3-133.3]  una aplicación externa tipo WhatsApp o telegram.
[133.3-137.9]  Como una aplicación externa, como un WhatsApp telegram.
[137.9-140.0]  OK, bien.
[140.0-144.3]  ¿Dónde es mi otra pregunta?
[144.3-149.0]  Sí, a mí de intentos preguis o soluciones que han provadantes
[149.0-152.6]  para abordar esta situación o han tenido algún resultado
[152.6-155.4]  o previo, o sea, antes de algo que venmos a otro,
[155.4-157.9]  han tentado alguna forma o que esta que no lo has diponozado
[157.9-161.2]  para ir.
[161.2-163.7]  No, no hemos usado algo similar.
[163.7-170.0]  Lo único que teníamos son herramientas
[171.0-173.8]  que nos ayudan a programar reuniones como call-in-line.
[173.8-178.9]  Eso era lo más cercano, pero no sé cerca para la realidad,
[178.9-180.7]  lo que estamos conversando ahora.
[180.7-187.3]  Es la primera vez en realidad que vamos a promover algo como esto.
[193.9-196.2]  OK, este...
[196.2-201.2]  ¿Puedes repetirme qué es lo más surgente o lo más minorita
[201.2-202.2]  durante las primeras semanas?
[202.2-204.7]  ¿Está creando los propios tipos de lo que quieren?
[204.7-205.7]  ¿Qué?
[205.7-208.3]  ¿En orden de importancia más o menos que podría ser lo más
[208.3-212.1]  importante ahorita para seguir avanzando?
[212.1-214.2]  La edificación de prospectos.
[214.2-220.5]  Eso me parece lo más importante, la solución más relevante
[220.5-222.5]  que necesitamos por ese lado,
[222.5-226.6]  poder encontrar prospectos que esto pueda de repente
[226.6-233.0]  arrojar reportes de prospección con un click o con un botón
[233.0-237.9]  que me permita mí como exportar reportes en PDF, por ejemplo.
[237.9-243.0]  Entonces, simplemente se llenan algunos datos con la base
[243.0-249.0]  que ya estamos conversando y si yo como usuario de la aplicación
[249.0-253.2]  digamos, ya siento que he tenido la información más actualizada
[253.2-258.8]  en momento, la puedo descargar en PDF y compartirla con mi equipo.
[258.8-264.0]  La idea es que esta base de datos pueda alimentarse
[264.0-268.5]  autonomamente primero, llenarla con la información de nosotros
[268.5-272.2]  podemos proporcionar, pero como nosotros sabemos,
[272.2-276.3]  los reportes de sostenibilidad que hablaba el principio se emiten
[276.3-277.6]  cada año.
[277.6-285.4]  Entonces, ahí tenemos un reto de cómo logramos añadir más
[285.4-293.1]  información con una frecuencia anual para que pueda tenerse
[293.1-297.4]  una analítica más fina y vigenta a lo largo del tiempo,
[297.4-302.2]  porque si sólo lo llenamos con una cantidad única de
[302.2-307.3]  información al 2026, el próximo año la aplicación
[307.3-309.7]  quedaría automáticamente desfazada.
[309.7-313.8]  Entonces, tenemos que ver la manera en la que esta aplicación
[313.8-321.6]  pueda tener una duración del largo aliento, donde de alguna manera
[321.6-327.7]  manual o no manual o sistematizada se pueda renovar información
[327.7-332.6]  relevante para que siga funcionando la aplicación sin ningún problema.
[332.6-334.7]  Esa me parece que es el principal reto.
[334.7-340.3]  Es un asunto bastante comercial donde la projección tiene
[340.3-347.0]  que ser nuestro principal meta, porque nosotros tenemos
[347.0-349.8]  esfuerzos dedicados para otros asuntos de la organización,
[349.8-353.2]  pero siempre hemos tenido complicaciones para la parte de
[353.2-354.8]  projección comercial.
